arm,model,precision,template,degradation,severity,item,gold,answer,verbalized,internal,correct,match_method,n_answer_tokens,raw
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,0,beignets,beignets,0.95,0.9987738728523254,1,exact,3,Answer: beignets | Confidence: 95
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,1,beignets,beignets,0.9,0.9958210786183676,1,exact,3,Answer: beignets | Confidence: 90
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,2,beignets,beignets,0.95,0.9992316762606304,1,exact,3,Answer: beignets | Confidence: 95
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,3,beignets,beignets,0.95,0.9988258282343546,1,exact,3,Answer: beignets | Confidence: 95
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,4,beignets,beignets,0.95,0.9994385441144308,1,exact,3,Answer: beignets | Confidence: 95
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,5,beignets,beignets,0.95,0.9987316131591796,1,exact,3,Answer: beignets | Confidence: 95
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,6,beignets,beignets,0.95,0.9988942742347716,1,exact,3,Answer: beignets | Confidence: 95
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,7,beignets,beignets,0.95,0.998916486899058,1,exact,3,Answer: beignets | Confidence: 95
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,8,beignets,beignets,0.9,0.8595377405484518,1,exact,3,Answer: beignets | Confidence: 90
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,9,beignets,beignets,0.95,0.9985151290893556,1,exact,3,Answer: beignets | Confidence: 95
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,10,beignets,beignets,0.9,0.9866236249605814,1,exact,3,Answer: beignets | Confidence: 90
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,11,beignets,beignets,0.95,0.9992678165435792,1,exact,3,Answer: beignets | Confidence: 95
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,12,beignets,beignets,0.95,0.9977004329363504,1,exact,3,Answer: beignets | Confidence: 95
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,13,beignets,beignets,0.95,0.9994860887527466,1,exact,3,Answer: beignets | Confidence: 95
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,14,beignets,beignets,0.95,0.9991696874300638,1,exact,3,Answer: beignets | Confidence: 95
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,15,beignets,beignets,0.9,0.9985175132751464,1,exact,3,Answer: beignets | Confidence: 90
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,16,beignets,beignets,0.95,0.9977721174558004,1,exact,3,Answer: beignets | Confidence: 95
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,17,beignets,beignets,0.95,0.9972339669863384,1,exact,3,Answer: beignets | Confidence: 95
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,18,beignets,beignets,0.95,0.9979518453280132,1,exact,3,Answer: beignets | Confidence: 95
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,19,beignets,beignets,0.9,0.9548660119374592,1,exact,3,Answer: beignets | Confidence: 90
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,20,beignets,beignets,0.95,0.9970801671346028,1,exact,3,Answer: beignets | Confidence: 95
C,Qwen/Qwen2-VL-7B-Instruct,nf4,fewshot,clean,0,21,beignets,beignets,0.9,0.980027457078298,1,exact,3,Answer: beignets | Confidence: 90
