arm,model,precision,template,degradation,severity,item,gold,answer,verbalized,internal,correct,match_method,n_answer_tokens,raw
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,0,beignets,,,0.8222847208380699,0,empty,4,Beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,1,beignets,,,0.8283854946494102,0,empty,4,Beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,2,beignets,,,0.8250651359558105,0,empty,4,Beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,3,beignets,,,0.8550695851445198,0,empty,4,Beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,4,beignets,,,0.8319422081112862,0,empty,4,Beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,5,beignets,,,0.8227455392479897,0,empty,4,beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,6,beignets,,,0.8539840057492256,0,empty,4,Beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,7,beignets,beignets,0.9,0.9833515485127768,1,exact,3,Answer: beignets | Confidence: 90
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,8,beignets,fried calamari,0.85,0.9603059490521748,0,contains,3,Answer: fried calamari | Confidence: 85
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,9,beignets,beignets,0.9,0.9687619209289552,1,exact,3,Answer: beignets | Confidence: 90
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,10,beignets,,,0.859996847808361,0,empty,4,Beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,11,beignets,,,0.8589873760938644,0,empty,4,Beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,12,beignets,beignets,0.9,0.9319411714871724,1,exact,3,Answer: beignets | Confidence: 90
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,13,beignets,,,0.851522333920002,0,empty,4,beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,14,beignets,,,0.8826083093881607,0,empty,4,Beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,15,beignets,beignets,0.9,0.9844227830568948,1,exact,3,Answer: beignets | Confidence: 90
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,16,beignets,beignets,0.9,0.9907225966453552,1,exact,3,Answer: beignets | Confidence: 90
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,17,beignets,,,0.846505343914032,0,empty,4,beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,18,beignets,,,0.8432528972625732,0,empty,4,Beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,19,beignets,,,0.8431525081396103,0,empty,4,beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,20,beignets,,,0.8395671471953392,0,empty,4,Beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,21,beignets,beignets,0.85,0.8589673439661661,1,exact,3,Answer: beignets | Confidence: 85
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,22,beignets,,,0.849424384534359,0,empty,4,Beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,23,beignets,,,0.8353084549307823,0,empty,4,Beignets
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,24,beignets,beignets,0.9,0.9701731006304424,1,exact,3,Answer: beignets | Confidence: 90
B,Qwen/Qwen2-VL-2B-Instruct,nf4,fewshot,clean,0,25,beignets,beignets,0.9,0.985967735449473,1,exact,3,Answer: beignets | Confidence: 90
