arm,model,precision,template,degradation,severity,item,gold,answer,verbalized,internal,correct,match_method,n_answer_tokens,raw
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,0,beignets,beignets,0.85,0.9923275709152222,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,1,beignets,beignets,0.85,0.9185129006703696,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,2,beignets,beignets,0.9,0.9889331658681234,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,3,beignets,beignets,0.9,0.9909073710441588,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,4,beignets,beignets,0.9,0.996612548828125,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,5,beignets,beignets,0.85,0.9883473912874856,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,6,beignets,beignets,0.9,0.9761780897776284,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,7,beignets,beignets,0.9,0.9922523697217306,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,8,beignets,fried calamari,0.85,0.9081806341807048,0,contains,3,Answer: fried calamari | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,9,beignets,beignets,0.9,0.9889565507570902,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,10,beignets,beignets,0.9,0.9921566843986512,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,11,beignets,beignets,0.9,0.9922396739323934,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,12,beignets,beignets,0.9,0.9730485081672668,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,13,beignets,beignets,0.9,0.9895755847295126,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,14,beignets,beignets,0.9,0.9926631053288778,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,15,beignets,beignets,0.9,0.99332062403361,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,16,beignets,beignets,0.9,0.9941075841585796,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,17,beignets,beignets,0.9,0.9875120719273884,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,18,beignets,beignets,0.9,0.986900269985199,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,19,beignets,beignets,0.85,0.9891769687334696,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,20,beignets,beignets,0.9,0.9954794049263,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,21,beignets,beignets,0.9,0.9344746073087056,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,22,beignets,beignets,0.9,0.9893831213315328,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,23,beignets,beignets,0.85,0.9884324272473654,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,24,beignets,beignets,0.9,0.9862409035364786,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,25,beignets,beignets,0.9,0.992380996545156,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,26,beignets,beignets,0.9,0.9808964331944784,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,27,beignets,beignets,0.9,0.9923836787541708,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,28,beignets,beignets,0.9,0.9755484064420064,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,29,beignets,beignets,0.9,0.9876969854036968,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,30,beignets,beignets,0.85,0.9883075555165608,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,31,beignets,beignets,0.9,0.9878938992818196,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,32,beignets,beignets,0.9,0.9868470231691996,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,33,beignets,beignets,0.9,0.993776301542918,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,34,beignets,beignets,0.9,0.9867421587308248,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,35,beignets,beignets,0.9,0.9799664417902628,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,36,beignets,beignets,0.9,0.9832100669542948,1,exact,3,Answer: beignets | Confidence: 90
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,37,beignets,beignets,0.85,0.9940136671066284,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,38,beignets,beignets,0.85,0.9865013758341472,1,exact,3,Answer: beignets | Confidence: 85
A,Qwen/Qwen2-VL-2B-Instruct,fp16,fewshot,clean,0,39,beignets,beignets,0.9,0.9879893263181052,1,exact,3,Answer: beignets | Confidence: 90
